ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
651320542;96354735;145424347;689802087;8;72:22:1401036:71;2025-10-01;2020-04-15;2025-10-01
1644393679;174911700;689628752;0;2;7203;2025-09-29;2025-09-29;2079-06-06
1644393681;174911700;689628752;0;7;71701000001;2025-09-29;2025-09-29;2079-06-06
1644393683;174911700;689628752;0;15;1386;2025-09-29;2025-09-29;2079-06-06
1644393685;174911700;689628752;0;21;71701000;2025-09-29;2025-09-29;2079-06-06
1644393743;174911708;689628760;0;2;7203;2025-09-29;2025-09-29;2079-06-06
1644393745;174911708;689628760;0;7;71701000001;2025-09-29;2025-09-29;2079-06-06
1644393747;174911708;689628760;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644393749;174911708;689628760;0;21;71701000;2025-09-29;2025-09-29;2079-06-06
1644393856;174911722;689628775;0;2;7203;2025-09-29;2025-09-29;2079-06-06
1644393858;174911722;689628775;0;7;71701000001;2025-09-29;2025-09-29;2079-06-06
1644393860;174911722;689628775;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644393862;174911722;689628775;0;21;71701000;2025-09-29;2025-09-29;2079-06-06
1644393808;174911716;689628769;0;2;7203;2025-09-29;2025-09-29;2079-06-06
1644393810;174911716;689628769;0;7;71701000001;2025-09-29;2025-09-29;2079-06-06
1644393812;174911716;689628769;0;15;24;2025-09-29;2025-09-29;2079-06-06
1644393814;174911716;689628769;0;21;71701000;2025-09-29;2025-09-29;2079-06-06
1644393951;174911731;689629018;0;2;7224;2025-09-29;2025-09-29;2079-06-06
1644393953;174911731;689629018;0;7;71644405;2025-09-29;2025-09-29;2079-06-06
1644393955;174911731;689629018;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644393957;174911731;689629018;0;21;71644405;2025-09-29;2025-09-29;2079-06-06
1644393983;174911735;689629022;0;2;7224;2025-09-29;2025-09-29;2079-06-06
1644393985;174911735;689629022;0;7;71644440101;2025-09-29;2025-09-29;2079-06-06
1644393987;174911735;689629022;0;15;15;2025-09-29;2025-09-29;2079-06-06
1644393989;174911735;689629022;0;21;71644440;2025-09-29;2025-09-29;2079-06-06
1644393910;174911726;689629013;0;1;7224;2025-09-29;2025-09-29;2079-06-06
1644393912;174911726;689629013;0;6;71244825000;2025-09-29;2025-09-29;2079-06-06
1644393914;174911726;689629013;0;8;72:17:0808003:19970;2025-09-29;2025-09-29;2079-06-06
1644393916;174911726;689629013;0;13;716444250000009002310050000000000;2025-09-29;2025-09-29;2079-06-06
1644393926;174911728;689629015;0;1;7224;2025-09-29;2025-09-29;2079-06-06
1644393928;174911728;689629015;0;6;71244860001;2025-09-29;2025-09-29;2079-06-06
1644393930;174911728;689629015;0;8;72:17:1901003:712;2025-09-29;2025-09-29;2079-06-06
1644393932;174911728;689629015;0;13;716444601010000000510007000000000;2025-09-29;2025-09-29;2079-06-06
1644393942;174911730;689629017;0;1;7224;2025-09-29;2025-09-29;2079-06-06
1644393944;174911730;689629017;0;6;71244805000;2025-09-29;2025-09-29;2079-06-06
1644393946;174911730;689629017;0;8;72:17:0406004:2030;2025-09-29;2025-09-29;2079-06-06
1644393948;174911730;689629017;0;13;716444050000681035210001000000000;2025-09-29;2025-09-29;2079-06-06
1644393958;174911732;689629019;0;1;7224;2025-09-29;2025-09-29;2079-06-06
1644393960;174911732;689629019;0;6;71244825000;2025-09-29;2025-09-29;2079-06-06
1644393962;174911732;689629019;0;8;72:17:0808003:19225;2025-09-29;2025-09-29;2079-06-06
1644393964;174911732;689629019;0;13;716444250000009001510038000000000;2025-09-29;2025-09-29;2079-06-06
1644393974;174911734;689629021;0;1;7224;2025-09-29;2025-09-29;2079-06-06
1644393976;174911734;689629021;0;6;71244805000;2025-09-29;2025-09-29;2079-06-06
1644393978;174911734;689629021;0;8;72:17:0406004:2028;2025-09-29;2025-09-29;2079-06-06
1644393980;174911734;689629021;0;13;716444050000681036310002000000000;2025-09-29;2025-09-29;2079-06-06
1644393990;174911736;689629023;0;1;7224;2025-09-29;2025-09-29;2079-06-06
1644393992;174911736;689629023;0;6;71244845001;2025-09-29;2025-09-29;2079-06-06
1644393994;174911736;689629023;0;8;72:17:1205002:3315;2025-09-29;2025-09-29;2079-06-06
1644393996;174911736;689629023;0;13;716444450000000004010027000000000;2025-09-29;2025-09-29;2079-06-06
1644394022;174911740;689629027;0;1;7224;2025-09-29;2025-09-29;2079-06-06
1644394024;174911740;689629027;0;6;71244860001;2025-09-29;2025-09-29;2079-06-06
1644394026;174911740;689629027;0;8;72:17:1908001:767;2025-09-29;2025-09-29;2079-06-06
1644394028;174911740;689629027;0;13;716444601010000005610009000000000;2025-09-29;2025-09-29;2079-06-06
1644394015;174911739;689629026;0;2;7224;2025-09-29;2025-09-29;2079-06-06
1644394017;174911739;689629026;0;7;71644430101;2025-09-29;2025-09-29;2079-06-06
1644394019;174911739;689629026;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644394021;174911739;689629026;0;21;71644430;2025-09-29;2025-09-29;2079-06-06
1644396549;174912030;689629664;0;7;71701000001;2025-09-29;2025-09-29;2079-06-06
1644396551;174912030;689629664;0;1;7230;2025-09-29;2025-09-29;2079-06-06
1644396553;174912030;689629664;0;15;1572;2025-09-29;2025-09-29;2079-06-06
1644396555;174912030;689629664;0;21;71701000;2025-09-29;2025-09-29;2079-06-06
1644402948;174912758;689631587;0;2;7224;2025-09-29;2025-09-29;2079-06-06
1644402950;174912758;689631587;0;7;71615448106;2025-09-29;2025-09-29;2079-06-06
1644402952;174912758;689631587;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644402954;174912758;689631587;0;21;71615448;2025-09-29;2025-09-29;2079-06-06
1644404200;174912908;689631775;0;2;7224;2025-09-29;2025-09-29;2079-06-06
1644404202;174912908;689631775;0;7;71642425101;2025-09-29;2025-09-29;2079-06-06
1644404204;174912908;689631775;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644404206;174912908;689631775;0;21;71642425;2025-09-29;2025-09-29;2079-06-06
1644404216;174912910;689631778;0;2;7224;2025-09-29;2025-09-29;2079-06-06
