ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644416794;174914388;689635334;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644416843;164585285;689635345;0;8;93:37:0010118:11985;2025-09-29;2025-09-29;2079-06-06
1644416916;160066519;689635359;0;8;93:37:0010310:4132;2025-09-29;2025-09-29;2079-06-06
1644498235;174926235;689656142;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644504886;174927460;689662583;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644504934;174927467;689662595;0;8;93:21:0010135:8274;2025-09-29;2025-09-29;2079-06-06
1644504945;174927467;689662595;0;13;210000000000000050740070009500000;2025-09-29;2025-09-29;2079-06-06
1644504967;174927472;689662602;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644504997;174927477;689662609;0;8;93:21:0010148:1306;2025-09-29;2025-09-29;2079-06-06
1644504999;174927477;689662609;0;13;210000000000000068140051000100000;2025-09-29;2025-09-29;2079-06-06
1644504929;174927465;689662592;0;13;210000000000000001440019000100000;2025-09-29;2025-09-29;2079-06-06
1644504963;174927470;689662599;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644504970;174927473;689662604;0;8;93:21:0010115:497;2025-09-29;2025-09-29;2079-06-06
1644504978;174927473;689662604;0;13;210000000000000053540005000800000;2025-09-29;2025-09-29;2079-06-06
1644505003;174927478;689662611;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644505005;174927479;689662613;0;8;93:21:0010112:623;2025-09-29;2025-09-29;2079-06-06
1644505007;174927479;689662613;0;13;210000000000000036440014000800000;2025-09-29;2025-09-29;2079-06-06
1644505037;174927484;689662619;0;15;31;2025-09-29;2025-09-29;2079-06-06
1644505045;174927486;689662625;0;8;93:21:0010154:2241;2025-09-29;2025-09-29;2079-06-06
1644505048;174927486;689662625;0;13;210000000000000061140022005400000;2025-09-29;2025-09-29;2079-06-06
1644505056;174927488;689662631;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644505063;174927490;689662636;0;8;93:21:0010155:3517;2025-09-29;2025-09-29;2079-06-06
1644505073;174927490;689662636;0;13;210000000000000070040016005200000;2025-09-29;2025-09-29;2079-06-06
1644505100;174927495;689662643;0;15;60;2025-09-29;2025-09-29;2079-06-06
1644505115;174927499;689662649;0;8;93:21:0010155:3523;2025-09-29;2025-09-29;2079-06-06
1644505025;174927482;689662617;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644505040;174927485;689662622;0;8;93:21:0010153:1704;2025-09-29;2025-09-29;2079-06-06
1644505043;174927485;689662622;0;13;210000000000000039540001000600000;2025-09-29;2025-09-29;2079-06-06
1644505052;174927487;689662628;0;15;41;2025-09-29;2025-09-29;2079-06-06
1644505059;174927489;689662633;0;8;93:21:0010154:2246;2025-09-29;2025-09-29;2079-06-06
1644505062;174927489;689662633;0;13;210000000000000081940009001900000;2025-09-29;2025-09-29;2079-06-06
1644505077;174927492;689662639;0;15;54;2025-09-29;2025-09-29;2079-06-06
1644505084;174927494;689662641;0;8;93:21:0010155:3518;2025-09-29;2025-09-29;2079-06-06
1644505089;174927494;689662641;0;13;210000000000000077340006005500000;2025-09-29;2025-09-29;2079-06-06
1644505111;174927498;689662646;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644505140;174927504;689662654;0;8;93:21:0010155:3526;2025-09-29;2025-09-29;2079-06-06
1644505150;174927504;689662654;0;13;210000000000000070040008002700000;2025-09-29;2025-09-29;2079-06-06
1644505178;174927509;689662661;0;15;30;2025-09-29;2025-09-29;2079-06-06
1644505180;174927511;689662663;0;8;93:21:0010155:3528;2025-09-29;2025-09-29;2079-06-06
1644505184;174927511;689662663;0;13;210000000000000070040011003100000;2025-09-29;2025-09-29;2079-06-06
1644505203;174927514;689662666;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644505124;174927499;689662649;0;15;62;2025-09-29;2025-09-29;2079-06-06
1644505126;174927501;689662651;0;8;93:21:0010155:3520;2025-09-29;2025-09-29;2079-06-06
1644505128;174927501;689662651;0;13;210000000000000070040018006300000;2025-09-29;2025-09-29;2079-06-06
1644505130;174927502;689662652;0;15;64;2025-09-29;2025-09-29;2079-06-06
1644505167;174927508;689662658;0;8;93:21:0010155:3527;2025-09-29;2025-09-29;2079-06-06
1644505170;174927508;689662658;0;13;210000000000000070040015009400000;2025-09-29;2025-09-29;2079-06-06
1644505193;174927512;689662664;0;15;49;2025-09-29;2025-09-29;2079-06-06
1644521677;174929486;689667617;0;8;93:21:0010156:1092;2025-09-29;2025-09-29;2079-06-06
1644521679;174929486;689667617;0;13;210000000000000068240013000600000;2025-09-29;2025-09-29;2079-06-06
1644521688;174929488;689667619;0;15;59;2025-09-29;2025-09-29;2079-06-06
1644521690;174929489;689667620;0;8;93:21:0010160:5102;2025-09-29;2025-09-29;2079-06-06
1644521692;174929489;689667620;0;13;210000000000000105040017009300000;2025-09-29;2025-09-29;2079-06-06
1644521702;174929491;689667622;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644521704;174929492;689667623;0;8;93:21:0000000:9057;2025-09-29;2025-09-29;2079-06-06
1644521706;174929492;689667623;0;13;210000000000000060440004000200000;2025-09-29;2025-09-29;2079-06-06
1644521716;174929494;689667625;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644521723;174929496;689667627;0;8;93:21:0020102:372;2025-09-29;2025-09-29;2079-06-06
1644521727;174929496;689667627;0;13;210000000000000001340019000200000;2025-09-29;2025-09-29;2079-06-06
1644521730;174929497;689667628;0;15;5;2025-09-29;2025-09-29;2079-06-06
1564695996;169475493;617544486;689707885;8;93:37:0010324:1714;2025-09-30;2025-01-15;2025-09-30
1564695999;169475494;617544488;689707896;8;93:37:0010324:1707;2025-09-30;2025-01-15;2025-09-30
1531299399;165857638;603579930;689707906;8;93:27:0010323:800;2025-09-30;2024-10-02;2025-09-30
1564696005;169475496;617544490;689707887;8;93:37:0010324:1772;2025-09-30;2025-01-15;2025-09-30
1644705150;174953155;689718859;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644715289;174954379;689721224;0;15;9;2025-09-30;2025-09-30;2079-06-06
1644715291;174954380;689721226;0;8;93:15:0010103:2552;2025-09-30;2025-09-30;2079-06-06
1644715293;174954380;689721226;0;13;720000000000000001240013001000000;2025-09-30;2025-09-30;2079-06-06
1644715297;174954381;689721227;0;13;720000000000000001240013001100000;2025-09-30;2025-09-30;2079-06-06
1644715299;174954382;689721228;0;13;720000000000000001240013001200000;2025-09-30;2025-09-30;2079-06-06
1644715301;174954383;689721229;0;13;720000000000000001240013001300000;2025-09-30;2025-09-30;2079-06-06
1644715303;174954384;689721230;0;13;720000000000000001240013001400000;2025-09-30;2025-09-30;2079-06-06
1644715305;174954385;689721231;0;13;720000000000000001240013001500000;2025-09-30;2025-09-30;2079-06-06
1644715307;174954386;689721232;0;13;720000000000000001240013001600000;2025-09-30;2025-09-30;2079-06-06
1644715325;174954389;689721235;0;13;720000000000000001240001001200000;2025-09-30;2025-09-30;2079-06-06
1644715327;174954390;689721236;0;13;720000000000000001240001001300000;2025-09-30;2025-09-30;2079-06-06
1644715329;174954391;689721237;0;13;720000000000000001240001001400000;2025-09-30;2025-09-30;2079-06-06
1644715331;174954392;689721238;0;13;720000000000000001240001001500000;2025-09-30;2025-09-30;2079-06-06
1644715333;174954393;689721239;0;13;720000000000000001240001001600000;2025-09-30;2025-09-30;2079-06-06
1644715340;174954394;689721240;0;13;720000000000000001240001001700000;2025-09-30;2025-09-30;2079-06-06
1644715342;174954396;689721242;0;13;720000000000000001240001001800000;2025-09-30;2025-09-30;2079-06-06
1644715347;174954397;689721243;0;13;720000000000000001240001001900000;2025-09-30;2025-09-30;2079-06-06
1644715349;174954398;689721244;0;13;720000000000000001240001002000000;2025-09-30;2025-09-30;2079-06-06
1644715351;174954399;689721245;0;13;720000000000000001240001002100000;2025-09-30;2025-09-30;2079-06-06
1644715355;174954400;689721246;0;13;720000000000000001240001002200000;2025-09-30;2025-09-30;2079-06-06
1644715362;174954402;689721248;0;13;720000000000000001240001002300000;2025-09-30;2025-09-30;2079-06-06
1644715365;174954403;689721249;0;13;720000000000000001240001002400000;2025-09-30;2025-09-30;2079-06-06
1644715367;174954404;689721250;0;13;720000000000000001240001002500000;2025-09-30;2025-09-30;2079-06-06
1644715369;174954405;689721251;0;15;26;2025-09-30;2025-09-30;2079-06-06
1644715371;174954406;689721253;0;15;27;2025-09-30;2025-09-30;2079-06-06
1644715459;174954433;689721306;0;15;15;2025-09-30;2025-09-30;2079-06-06
1644715466;174954435;689721308;0;15;16;2025-09-30;2025-09-30;2079-06-06
1644715471;174954436;689721309;0;15;17;2025-09-30;2025-09-30;2079-06-06
1644715473;174954437;689721310;0;15;18;2025-09-30;2025-09-30;2079-06-06
1644715475;174954438;689721311;0;15;19;2025-09-30;2025-09-30;2079-06-06
1644715477;174954439;689721313;0;15;20;2025-09-30;2025-09-30;2079-06-06
1644715479;174954440;689721314;0;15;21;2025-09-30;2025-09-30;2079-06-06
1644715481;174954441;689721316;0;15;22;2025-09-30;2025-09-30;2079-06-06
1644715483;174954442;689721317;0;15;23;2025-09-30;2025-09-30;2079-06-06
1644715485;174954443;689721318;0;15;24;2025-09-30;2025-09-30;2079-06-06
1644715487;174954444;689721319;0;15;25;2025-09-30;2025-09-30;2079-06-06
1644715494;174954446;689721321;0;15;26;2025-09-30;2025-09-30;2079-06-06
