ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644439613;174917903;689642794;0;8;58:29:1007005:4299;2025-09-29;2025-09-29;2079-06-06
1644439615;174917903;689642794;0;13;567010000010000071440096000501000;2025-09-29;2025-09-29;2079-06-06
1644439617;174917904;689642795;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644439619;174917905;689642796;0;8;58:29:1007005:4300;2025-09-29;2025-09-29;2079-06-06
1644439621;174917905;689642796;0;13;567010000010000071440096000503000;2025-09-29;2025-09-29;2079-06-06
1644439623;174917906;689642797;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644439625;174917907;689642798;0;8;58:29:1007005:4292;2025-09-29;2025-09-29;2079-06-06
1644439627;174917907;689642798;0;13;567010000010000071440096000505000;2025-09-29;2025-09-29;2079-06-06
1644439629;174917908;689642799;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644439631;174917909;689642800;0;8;58:29:1007005:4301;2025-09-29;2025-09-29;2079-06-06
1644439633;174917909;689642800;0;13;567010000010000071440096000507000;2025-09-29;2025-09-29;2079-06-06
1644439635;174917910;689642801;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644439637;174917911;689642802;0;8;58:29:1007005:5511;2025-09-29;2025-09-29;2079-06-06
1644439639;174917911;689642802;0;13;567010000010000071440096000509000;2025-09-29;2025-09-29;2079-06-06
1644439641;174917912;689642803;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644439643;174917913;689642804;0;8;58:29:1007005:4303;2025-09-29;2025-09-29;2079-06-06
1644439645;174917913;689642804;0;13;567010000010000071440096000511000;2025-09-29;2025-09-29;2079-06-06
1644439647;174917914;689642805;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644439649;174917915;689642806;0;8;58:29:1007005:5492;2025-09-29;2025-09-29;2079-06-06
1644439651;174917915;689642806;0;13;567010000010000071440096000513000;2025-09-29;2025-09-29;2079-06-06
1644439653;174917916;689642807;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644439655;174917917;689642808;0;8;58:29:1007005:4298;2025-09-29;2025-09-29;2079-06-06
1644439657;174917917;689642808;0;13;567010000010000071440096000515000;2025-09-29;2025-09-29;2079-06-06
1644439659;174917918;689642809;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644439661;174917919;689642810;0;8;58:29:1007005:4302;2025-09-29;2025-09-29;2079-06-06
1644439663;174917919;689642810;0;13;567010000010000071440096000517000;2025-09-29;2025-09-29;2079-06-06
1644439850;174917939;689642838;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644439852;174917940;689642839;0;8;58:29:1007005:4331;2025-09-29;2025-09-29;2079-06-06
1644439854;174917940;689642839;0;13;567010000010000071440096000403000;2025-09-29;2025-09-29;2079-06-06
1644439856;174917941;689642840;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644439858;174917942;689642841;0;8;58:29:1007005:4338;2025-09-29;2025-09-29;2079-06-06
1644439860;174917942;689642841;0;13;567010000010000071440096000405000;2025-09-29;2025-09-29;2079-06-06
1644439862;174917943;689642842;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644439864;174917944;689642843;0;8;58:29:1007005:4332;2025-09-29;2025-09-29;2079-06-06
