ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644491327;96811133;689654315;0;8;05:43:000320:20;2025-09-29;2025-09-29;2079-06-06
1644491349;96951967;689654321;0;8;05:43:000264:20;2025-09-29;2025-09-29;2079-06-06
1644491351;97040015;689654322;0;8;05:43:000259:13;2025-09-29;2025-09-29;2079-06-06
1644491614;97241484;689654396;0;8;05:43:000180:50;2025-09-29;2025-09-29;2079-06-06
1644491632;93829448;689654399;0;8;05:43:000355:19;2025-09-29;2025-09-29;2079-06-06
1644491684;96953655;689654411;0;8;05:43:000053:13;2025-09-29;2025-09-29;2079-06-06
1644491661;97081152;689654404;0;8;05:43:000091:10;2025-09-29;2025-09-29;2079-06-06
1644491671;97241549;689654406;0;8;05:43:000040:29;2025-09-29;2025-09-29;2079-06-06
1644491676;97241540;689654408;0;8;05:43:000051:24;2025-09-29;2025-09-29;2079-06-06
1644491727;97122602;689654424;0;8;05:43:000325:21;2025-09-29;2025-09-29;2079-06-06
1644504637;174927417;689662532;0;1;0500;2025-09-29;2025-09-29;2079-06-06
1644504639;174927417;689662532;0;3;0547;2025-09-29;2025-09-29;2079-06-06
1644504641;174927417;689662532;0;6;82430000000;2025-09-29;2025-09-29;2079-06-06
1644504643;174927417;689662532;0;8;05:43:000004:13;2025-09-29;2025-09-29;2079-06-06
1644504645;174927417;689662532;0;13;827300000010000018810070000000000;2025-09-29;2025-09-29;2079-06-06
1644504820;174927453;689662573;0;1;0500;2025-09-29;2025-09-29;2079-06-06
1644504822;174927453;689662573;0;3;0547;2025-09-29;2025-09-29;2079-06-06
1644504825;174927453;689662573;0;6;82430000000;2025-09-29;2025-09-29;2079-06-06
1644504827;174927453;689662573;0;8;05:43:000355:72;2025-09-29;2025-09-29;2079-06-06
1644504831;174927453;689662573;0;13;827300000010000019010022000000000;2025-09-29;2025-09-29;2079-06-06
1644191882;163361938;689572180;689662582;8;05:30:000004:555;2025-09-29;2025-09-25;2025-09-29
1644504884;163361938;689662582;0;13;826324681010000000310001000000020;2025-09-29;2025-09-29;2079-06-06
1644504806;174927451;689662571;0;2;0500;2025-09-29;2025-09-29;2079-06-06
1644504808;174927451;689662571;0;4;0547;2025-09-29;2025-09-29;2079-06-06
1644504810;174927451;689662571;0;7;82730000001;2025-09-29;2025-09-29;2079-06-06
1644504812;174927451;689662571;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644504814;174927451;689662571;0;21;82730000;2025-09-29;2025-09-29;2079-06-06
1644504834;174927454;689662574;0;2;0500;2025-09-29;2025-09-29;2079-06-06
1644504836;174927454;689662574;0;4;0547;2025-09-29;2025-09-29;2079-06-06
1644504838;174927454;689662574;0;7;82730000001;2025-09-29;2025-09-29;2079-06-06
1644504845;174927454;689662574;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644504847;174927454;689662574;0;21;82730000;2025-09-29;2025-09-29;2079-06-06
1644505775;174927581;689662816;0;2;0500;2025-09-29;2025-09-29;2079-06-06
1644505777;174927581;689662816;0;7;82642460101;2025-09-29;2025-09-29;2079-06-06
1644505782;174927581;689662816;0;15;46;2025-09-29;2025-09-29;2079-06-06
1644505784;174927581;689662816;0;21;82642460;2025-09-29;2025-09-29;2079-06-06
