ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644441861;174918217;689643308;0;8;53:24:0020118:352;2025-09-29;2025-09-29;2079-06-06
1644441863;174918217;689643308;0;13;496391010010000006640194000003000;2025-09-29;2025-09-29;2079-06-06
1644441868;174918219;689643310;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644441873;174918221;689643312;0;8;53:24:0020118:340;2025-09-29;2025-09-29;2079-06-06
1644441875;174918221;689643312;0;13;496391010010000006640194000004000;2025-09-29;2025-09-29;2079-06-06
1644441880;174918223;689643314;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644441885;174918225;689643316;0;8;53:24:0020118:390;2025-09-29;2025-09-29;2079-06-06
1644441887;174918225;689643316;0;13;496391010010000006640194000109000;2025-09-29;2025-09-29;2079-06-06
1644441892;174918227;689643318;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644441870;174918220;689643311;0;8;53:24:0020118:338;2025-09-29;2025-09-29;2079-06-06
1644441872;174918220;689643311;0;13;496391010010000006640194000003000;2025-09-29;2025-09-29;2079-06-06
1644441877;174918222;689643313;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644441882;174918224;689643315;0;8;53:24:0020118:312;2025-09-29;2025-09-29;2079-06-06
1644441884;174918224;689643315;0;13;496391010010000006640194000108000;2025-09-29;2025-09-29;2079-06-06
1644441889;174918226;689643317;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644449135;174919095;689644943;0;8;53:22:0000000:16790;2025-09-29;2025-09-29;2079-06-06
1644449137;174919095;689644943;0;13;496061010010000016940178000102000;2025-09-29;2025-09-29;2079-06-06
1644453033;174919643;689645626;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644453043;174919645;689645628;0;8;53:24:0020118:379;2025-09-29;2025-09-29;2079-06-06
1644453045;174919645;689645628;0;13;496391010010000006640194000004000;2025-09-29;2025-09-29;2079-06-06
1644453063;174919648;689645631;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644453073;174919650;689645633;0;8;53:24:0020118:385;2025-09-29;2025-09-29;2079-06-06
1644453075;174919650;689645633;0;13;496391010010000006640194000006000;2025-09-29;2025-09-29;2079-06-06
1644453085;174919652;689645635;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644453095;174919654;689645637;0;8;53:24:0020118:357;2025-09-29;2025-09-29;2079-06-06
1644453097;174919654;689645637;0;13;496391010010000006640194000008000;2025-09-29;2025-09-29;2079-06-06
1644453233;174919673;689645656;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644670402;174949542;689709298;0;8;53:24:0020118:370;2025-09-30;2025-09-30;2079-06-06
1644670404;174949542;689709298;0;13;496391010010000006640194000004000;2025-09-30;2025-09-30;2079-06-06
1644670595;174949566;689709325;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644721360;174955125;689723081;0;8;53:24:0000000:5477;2025-09-30;2025-09-30;2079-06-06
