ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644386424;74698196;689626369;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644390541;174911320;689628168;0;8;03:05:100158:214;2025-09-29;2025-09-29;2079-06-06
1644390543;174911320;689628168;0;13;816154601010000002240071000100000;2025-09-29;2025-09-29;2079-06-06
1644390545;174911321;689628169;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644390547;174911322;689628170;0;8;03:05:100158:212;2025-09-29;2025-09-29;2079-06-06
1644390549;174911322;689628170;0;13;816154601010000002240071000300000;2025-09-29;2025-09-29;2079-06-06
1644390551;174911323;689628171;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644390553;174911324;689628172;0;8;03:05:100158:221;2025-09-29;2025-09-29;2079-06-06
1644390555;174911324;689628172;0;13;816154601010000002240071000500000;2025-09-29;2025-09-29;2079-06-06
1644390557;174911325;689628173;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644390559;174911326;689628174;0;8;03:05:100158:219;2025-09-29;2025-09-29;2079-06-06
1644390561;174911326;689628174;0;13;816154601010000002240071000700000;2025-09-29;2025-09-29;2079-06-06
1644390563;174911327;689628175;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644395558;174911933;689629383;0;8;03:08:000000:7302;2025-09-29;2025-09-29;2079-06-06
1644395560;174911933;689629383;0;13;816224401010000002040012000200000;2025-09-29;2025-09-29;2079-06-06
1538704484;14410245;605629946;689669034;8;03:20:110224:62;2025-09-29;2024-10-28;2025-09-29
1644641941;14410616;689702871;0;8;03:20:110224:62;2025-09-30;2025-09-30;2079-06-06
1644754340;174959320;689733881;0;13;816484731010000007240001000100000;2025-09-30;2025-09-30;2079-06-06
1644866951;174970938;689777680;0;15;1;2025-10-01;2025-10-01;2079-06-06
1644866953;174970939;689777681;0;8;03:17:000000:4841;2025-10-01;2025-10-01;2079-06-06
1644866955;174970939;689777681;0;13;816451550510000001640010000100000;2025-10-01;2025-10-01;2079-06-06
1644866957;174970940;689777682;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644866965;174970943;689777685;0;8;03:17:080103:139;2025-10-01;2025-10-01;2079-06-06
1644866967;174970943;689777685;0;13;816451550510000001640011000100000;2025-10-01;2025-10-01;2079-06-06
1644866969;174970944;689777686;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644866988;174970948;689777691;0;8;03:17:000000:3117;2025-10-01;2025-10-01;2079-06-06
1644866990;174970948;689777691;0;13;816451550510000001640002000100000;2025-10-01;2025-10-01;2079-06-06
1644866992;174970949;689777692;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644867004;174970951;689777694;0;8;03:17:000000:4596;2025-10-01;2025-10-01;2079-06-06
1644867006;174970951;689777694;0;13;816451550510000001640004000100000;2025-10-01;2025-10-01;2079-06-06
1644867008;174970952;689777695;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644867030;174970955;689777698;0;8;03:17:000000:4826;2025-10-01;2025-10-01;2079-06-06
1644867032;174970955;689777698;0;13;816451550510000001640006000200000;2025-10-01;2025-10-01;2079-06-06
1644867044;174970957;689777700;0;15;1;2025-10-01;2025-10-01;2079-06-06
1644867046;174970958;689777701;0;8;03:17:080103:27;2025-10-01;2025-10-01;2079-06-06
1644867048;174970958;689777701;0;13;816451550510000001640001000200000;2025-10-01;2025-10-01;2079-06-06
1644867061;101906732;689777705;0;8;03:17:000000:3779;2025-10-01;2025-10-01;2079-06-06
1644866960;174970941;689777683;0;15;1;2025-10-01;2025-10-01;2079-06-06
1644866962;174970942;689777684;0;8;03:17:000000:4581;2025-10-01;2025-10-01;2079-06-06
1644866964;174970942;689777684;0;13;816451550510000001640008000200000;2025-10-01;2025-10-01;2079-06-06
1644866972;174970945;689777687;0;15;1;2025-10-01;2025-10-01;2079-06-06
1644866974;174970946;689777688;0;8;03:17:000000:4518;2025-10-01;2025-10-01;2079-06-06
1644866976;174970946;689777688;0;13;816451550510000001640009000200000;2025-10-01;2025-10-01;2079-06-06
1644867060;101906731;689777704;0;8;03:17:000000:3778;2025-10-01;2025-10-01;2079-06-06
1644876293;174972050;689780207;0;8;03:03:050162:391;2025-10-01;2025-10-01;2079-06-06
1644876295;174972050;689780207;0;13;816094151010000003140021000100000;2025-10-01;2025-10-01;2079-06-06
1644876306;174972052;689780211;0;15;1;2025-10-01;2025-10-01;2079-06-06
1458595654;3398371;562606949;689780208;8;03:21:000000:2271;2025-10-01;2023-10-03;2025-10-01
1644877224;78385689;689780728;0;8;03:09:000000:19439;2025-10-01;2025-10-01;2079-06-06
1644877518;78385848;689780791;0;8;03:09:000000:19440;2025-10-01;2025-10-01;2079-06-06
1644906321;174976625;689790373;0;8;03:12:150220:30;2025-10-01;2025-10-01;2079-06-06
1644906323;174976625;689790373;0;13;816331010010000004440031000100000;2025-10-01;2025-10-01;2079-06-06
1644906372;174976632;689790387;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644906913;174976699;689790480;0;8;03:06:000000:11179;2025-10-01;2025-10-01;2079-06-06
1644906915;174976699;689790480;0;13;817010000010000050540019005900000;2025-10-01;2025-10-01;2079-06-06
1644961131;29144186;689805376;0;15;1;2025-10-01;2025-10-01;2079-06-06
